story_id,date,title,series,status,story_path,prompt_path,video_path,reference_ids,concepts,notes
hk-rainy-tea-restaurant,2026-05-09,Hong Kong Rainy Tea Restaurant,Daily Custom,prompted,,references/prompts/2026-05-09-hk-rainy-tea-restaurant-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"rain;tea restaurant;daily comedy","Prompt-only older daily story"
moon-universe-fight,2026-05-10,Moon Universe Fight,Universe Adventure,prompted,,references/prompts/2026-05-10-moon-universe-fight-duanpian-15s-numbered-assets.md,,trio-image;lightmind-display;aya-notebook,"moon;battle;space comedy","Earlier universe arc before red-sand organization"
comet-usb-star-key,2026-05-11,Comet Mystery U Disk,Universe Adventure,prompted,,references/prompts/2026-05-11-episode02-comet-usb-stick-duanpian-15s-manual.md,,trio-image;lightmind-display;aya-notebook,"comet;U disk;star key;black hole company","Earlier connected universe episode"
xingyao-dinosaur,2026-05-12,Xingyao Dinosaur,Universe Adventure,prompted,,references/prompts/2026-05-12-episode03-xingyao-dinosaur-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"dinosaur;universe adventure","Earlier connected universe episode"
blue-light-road-toll,2026-05-13,Blue Light Road Toll Station,Universe Adventure,prompted,,references/prompts/2026-05-13-episode04-blue-light-road-toll-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"toll station;blue light;space road","Earlier connected universe episode"
supernova,2026-05-18,Supernova Adventure,Universe Adventure,prompted,,references/prompts/2026-05-18-episode07-supernova-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"supernova;space danger","Earlier connected universe episode"
blackhole-photon-sphere,2026-05-18,Black Hole Photon Sphere,Universe Adventure,prompted,,references/prompts/2026-05-18-episode08-blackhole-photon-sphere-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"black hole;event horizon;photon sphere","Educational space concept"
big-bang,2026-05-19,Big Bang Story,Universe Adventure,prompted,,references/prompts/2026-05-19-episode09-big-bang-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"big bang;universe origin","Earlier universe episode"
roller-coaster-everest,2026-05-20,Everest Roller Coaster,Daily Custom,prompted,,references/prompts/2026-05-20-roller-coaster-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"Everest;roller coaster;romance;fun","Daily custom story"
magic-forest-lychee,2026-05-24,Magic Forest Lychee,Daily Custom,prompted,,references/prompts/2026-05-24-magic-forest-lychee-15s.md,,trio-image;lightmind-display;aya-notebook,"magic forest;lychee","Daily custom story"
cold-hot-water,2026-05-31,Cold And Hot Water,Daily Custom,prompted,,references/prompts/2026-05-31-cold-hot-water-15s.md,,trio-image;lightmind-display;aya-notebook,"cold;care;hot water","Daily custom story"
alps-hamburg,2026-06-01,Alps Hamburg Hamburger Wordplay,Daily Custom,prompted,,references/prompts/2026-06-01-alps-hamburg-hamburger-15s.md,,trio-image;lightmind-display;aya-notebook,"Alps;hamburg;hamburger;multilingual joke","Mixed Chinese English Japanese wordplay"
hokkaido-dolphin-shark,2026-06-02,Swim To Hokkaido With Dolphin And Shark,Daily Custom,prompted,,references/prompts/2026-06-02-hokkaido-dolphin-shark-15s.md,,trio-image;lightmind-display;aya-notebook,"Hokkaido;dolphin;shark;swimming","Daily custom ocean story"
typhoon-pingpong-shark,2026-06-03,Typhoon Ping Pong Shark,Daily Custom,prompted,,references/prompts/2026-06-03-typhoon-pingpong-shark-one-minute.md,,trio-image;lightmind-display;aya-notebook,"typhoon;Sasa flying;ping pong;shark","Flexible long/daily custom story"
earth-moon-elevator-mars-rope,2026-06-04,Earth Moon Elevator Mars Rope,Daily Custom,draft,references/stories/2026-06-04-earth-moon-elevator-mars-rope.md,references/prompts/2026-06-04-earth-moon-elevator-mars-rope-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"earth-moon elevator;Mars bridge;rope travel","Standalone space transport comedy"
